"Story","Title","Result","Date","Stability","Duration (s)"
"Create Categori","Create valid categori","SUCCESS","2022-11-08T11:28:36.2375728+07:00[Asia/Bangkok]","0.0","9.49"
"Create Categori","Create invalid categori name","SUCCESS","2022-11-08T11:28:46.2832218+07:00[Asia/Bangkok]","0.0","1.47"
"Create Categori","Create invalid categori description","SUCCESS","2022-11-08T11:28:47.7663705+07:00[Asia/Bangkok]","0.0","1.43"
